Food Name,Store Name,Rice,Noodle,Price,Halal,Spicy,Contains Beef,Contains Chicken,Contains Pork,Contains Dairy,Contains Seafood,Contains Nuts,Contains Eggs,Contain Onions,Contains Spring Onion,Contains Coriander,Contains Garlic,Contains Processed Food,Contains Sides,Ready-To-Serve,Waiting Time,Soup-Based,Dry-Based,High-Fibre Content,High Fried Content,Cuisine,Oil Content
Stir-fry Mala (Pork / Seafood / Vegetable / Processed Food),Happiness Sunbo Food Mala,1,1,9,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,Average,0,1,1,0,Chinese,High
Stir-fry Mala (Chicken / Pork / Vegetable / Processed Food),Happiness Sunbo Food Mala,1,1,9,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,Average,0,1,1,0,Chinese,High
Stir-fry Mala (Pork / Egg / Vegetable / Processed Food),Happiness Sunbo Food Mala,1,1,9,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,Average,0,1,1,0,Chinese,High
Stir-fry Mala (Pork / Beef / Processed Food),Happiness Sunbo Food Mala,1,1,9,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,Average,0,1,0,0,Chinese,High
Steamed Chicken (Single/Double/Triple),Chicken Rice,1,1,3.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Short,0,1,0,0,Chinese,Low
Roasted Chicken (Single/Double/Triple),Chicken Rice,1,1,3.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Short,0,1,0,0,Chinese,Low
Roasted Pork (Single/Double/Triple),Chicken Rice,1,1,3.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Short,0,1,0,0,Chinese,Low
Char Siew (Single/Double/Triple),Chicken Rice,1,1,3.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Short,0,1,0,0,Chinese,Low
Lemon Chicken Cutlet (Single/Double/Triple),Chicken Rice,1,1,3.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Average,0,1,0,1,Chinese,Low
Thai Chicken Cutlet (Single/Double/Triple),Chicken Rice,1,1,3.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Average,0,1,0,1,Chinese,Low
Roasted Duck (Single/Double/Triple),Chicken Rice,1,1,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Short,0,1,0,0,Chinese,Low
Hong Kong style Crispy Roasted Suckling pig (Single/Double/Triple),Chicken Rice,1,0,4.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Average,0,1,0,0,Chinese,Low
Hong Kong style Roasted Sausage (Single/Double/Triple),Chicken Rice,1,0,4.6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,Average,0,1,0,0,Chinese,Low
Steamed Chicken Drumstick (Single),Chicken Rice,1,1,4.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Short,0,1,0,0,Chinese,Low
Curry Chicken (Single),Chicken Rice,1,1,4.8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Average,0,1,0,0,Chinese,Low
Roasted Chicken Drumstick (Single),Chicken Rice,1,1,4.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Short,0,1,0,0,Chinese,Low
Roasted Duck Drumstick (Single),Chicken Rice,1,1,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Short,0,1,0,0,Chinese,Low
Shredded Chicken Porridge,Chicken Rice,1,0,3.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Short,1,0,0,0,Chinese,Low
Wanton,Chicken Rice,0,1,4.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Average,0,1,0,0,Chinese,Low
Char Siew Wanton,Chicken Rice,0,1,4.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,Average,0,1,0,0,Chinese,Low
Mixed Beef,The Beef Station,1,1,7,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,Short,1,1,0,0,Muslim,Low
Beef Brisket,The Beef Station,1,1,7,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,Short,1,1,0,0,Muslim,Low
Rendang Beef,The Beef Station,1,1,7,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,Short,1,1,0,0,Muslim,Low
Sliced Beef,The Beef Station,1,1,4.6,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,Short,1,1,0,0,Muslim,Low
Beef Shin,The Beef Station,1,1,5.9,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,Short,1,1,0,0,Muslim,Low
Beef Tendon,The Beef Station,1,1,5.9,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,Short,1,1,0,0,Muslim,Low
Minced Beef,The Beef Station,1,1,5,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,Short,1,1,0,0,Muslim,Low
Beefballs,The Beef Station,1,1,4.6,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,Short,1,1,0,0,Muslim,Low
Ishiro Chashu Bowl,Ishiro Japanese Cuisine,1,0,7.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Average,0,1,0,1,Japanese,Average
Iberico Pork Bowl,Ishiro Japanese Cuisine,1,0,7.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Average,0,1,0,1,Japanese,Average
Mentaiko Chicken Bowl,Ishiro Japanese Cuisine,1,0,7.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Average,0,1,0,1,Japanese,Average
Sukiya Beef Bowl,Ishiro Japanese Cuisine,1,0,6.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Average,0,1,0,1,Japanese,Average
Unagi Bowl,Ishiro Japanese Cuisine,1,0,9.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Average,0,1,0,0,Japanese,Average
Grilled Chicken Bowl,Ishiro Japanese Cuisine,1,0,6.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Average,0,1,0,1,Japanese,Average
Mentaiko Salmon Bowl,Ishiro Japanese Cuisine,1,0,8.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Average,0,1,0,0,Japanese,Average
Mentaiko Pork Katsu Bowl,Ishiro Japanese Cuisine,1,0,7.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Average,0,1,0,1,Japanese,High
Chicken Katsu,Ishiro Japanese Cuisine,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Average,0,1,0,1,Japanese,High
Salmon Bowl,Ishiro Japanese Cuisine,1,0,6.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Average,0,1,0,0,Japanese,Average
Pork Katsu Bowl,Ishiro Japanese Cuisine,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Average,0,1,0,1,Japanese,Average
Tempura Prawn Curry Bowl,Ishiro Japanese Cuisine,1,0,7.7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Average,0,1,0,0,Japanese,High
Chicken Katsu Curry Bowl,Ishiro Japanese Cuisine,1,0,8.3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Average,0,1,0,1,Japanese,High
Chicken Karaage Curry Bowl,Ishiro Japanese Cuisine,1,0,5.3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Average,0,1,0,1,Japanese,High
Pork Katsu Curry Bowl,Ishiro Japanese Cuisine,1,0,8.3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Average,0,1,0,1,Japanese,Average
Sukiya Beef Curry Bowl,Ishiro Japanese Cuisine,1,0,5.3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Average,0,1,0,1,Japanese,Average
Plain Japanese Curry Bowl,Ishiro Japanese Cuisine,1,0,4.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Average,0,1,0,1,Japanese,Average
Torched Chashu Udon,Ishiro Japanese Cuisine,0,1,8.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Average,1,0,0,1,Japanese,Average
Sukiya Beef Udon,Ishiro Japanese Cuisine,0,1,8.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Average,1,0,0,1,Japanese,Average
Sukiya Pork Udon,Ishiro Japanese Cuisine,0,1,7.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Average,1,0,0,1,Japanese,Average
Mentaiko Chicken Udon,Ishiro Japanese Cuisine,0,1,8.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Average,1,0,0,1,Japanese,Average
Grilled Unagi Udon,Ishiro Japanese Cuisine,0,1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Average,1,0,0,1,Japanese,Average
Grilled Chicken Udon,Ishiro Japanese Cuisine,0,1,7.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Average,1,0,0,1,Japanese,Average
Mentaiko Salmon Udon,Ishiro Japanese Cuisine,0,1,9.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Average,1,0,0,0,Japanese,Average
Mentaiko Spicy Chicken Udon,Ishiro Japanese Cuisine,0,1,9.3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Average,1,0,0,1,Japanese,Average
Spicy Chicken Tonkatsu Udon,Ishiro Japanese Cuisine,0,1,8.7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Average,1,0,0,1,Japanese,Average
Honey Chicken Chop Rice,Taiwan Ichiban,1,0,6.9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,Average,0,1,1,1,Taiwanese,High
X-Large Chicken Chop Rice,Taiwan Ichiban,1,0,6.9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,Average,0,1,1,1,Taiwanese,High
Taiwanese Pork Chop Rice,Taiwan Ichiban,1,0,6.9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Average,0,1,1,1,Taiwanese,High
Salted Crispy Chicken Rice,Taiwan Ichiban,1,0,6.9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,Average,0,1,1,1,Taiwanese,High
Sesame Seed Chicken Rice,Taiwan Ichiban,1,0,6.9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,Average,0,1,1,1,Taiwanese,High
Taiwanese Sweet & Sour Chicken Rice,Taiwan Ichiban,1,0,6.9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,Average,0,1,1,1,Taiwanese,High
Teriyaki Chicken Rice,Taiwan Ichiban,1,0,6.9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,Average,0,1,1,1,Taiwanese,High
Mala Chicken Chop Rice,Taiwan Ichiban,1,0,6.9,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,Average,0,1,1,1,Taiwanese,High
Oyster Mee Sua,Taiwan Ichiban,0,1,4.4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Short,1,0,0,0,Taiwanese,Low
Taiwanese Braised Pork Rice,Taiwan Ichiban,1,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Average,0,1,1,1,Taiwanese,High
Pork Belly Rice,Taiwan Ichiban,1,0,5.4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Short,0,1,1,1,Taiwanese,High
Oyster Mee Sua with Sesame Chicken,Taiwan Ichiban,0,1,5.8,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,Average,1,0,0,1,Taiwanese,High
Ban Mian,Ban Mian Store,0,0,4.50,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Short,0,0,0,0,Chinese,Average
You Mian,Ban Mian Store,0,0,4.50,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Short,0,0,0,0,Chinese,Average
Mee Hoon Kuah,Ban Mian Store,0,1,4.50,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Short,0,0,0,0,Chinese,Average
Thick Bee Hoon,Ban Mian Store,0,1,4.50,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Short,0,0,0,0,Chinese,Average
Thin Bee Hoon,Ban Mian Store,0,1,4.50,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Short,0,0,0,0,Chinese,Average
Mee Sua,Ban Mian Store,0,1,4.50,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Short,0,0,0,0,Chinese,Average
Crispy Noodles,Ban Mian Store,0,1,4.50,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Short,0,0,0,0,Chinese,Average
Fried Fish Soup Noodles (Dory),Ban Mian Store,0,1,4.50,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,Average,1,1,0,1,Chinese,High
Fried Fish Soup Rice (Dory),Ban Mian Store,1,0,4.50,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,Average,1,1,0,1,Chinese,High
Fish Slices Soup Noodles (Batang),Ban Mian Store,0,1,5.50,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,Short,1,0,0,0,Chinese,Average
Fish Slices Soup Rice (Batang),Ban Mian Store,1,0,5.50,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,Short,1,0,0,0,Chinese,Average
Fish Soup Noodles Double Fish (Dory),Ban Mian Store,0,1,6.50,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,Short,1,0,0,0,Chinese,Average
Fish Soup Rice Double Fish (Dory),Ban Mian Store,1,0,6.50,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,Short,1,0,0,0,Chinese,Average
Zha Jiang Noodle,Ban Mian Store,0,1,5.00,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Short,0,0,0,0,Chinese,Average
Dumpling Noodle Soup (8 pcs),Ban Mian Store,0,1,5.00,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,Short,1,0,0,0,Chinese,Average
Dumpling Soup,Ban Mian Store,0,0,5,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,Short,1,0,0,0,Chinese,Average
Fried Dumplings,Ban Mian Store,0,0,5,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,Average,0,1,0,1,Chinese,High
Steamed Dumplings,Ban Mian Store,0,0,5,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,Short,0,0,0,0,Chinese,Average
Fried Fish,Ban Mian Store,0,0,5,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,Average,0,1,0,1,Chinese,High
Fried Meatballs,Ban Mian Store,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Average,0,1,0,1,Chinese,High
Fried Wontons,Ban Mian Store,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Average,0,1,0,1,Chinese,High
Fried Vegetables,Ban Mian Store,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Average,0,1,1,1,Chinese,High
Normal Prawn Noodles,Big Prawn Noodle,0,1,3.9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Short,1,0,0,0,Chinese,Low
Big Prawn Noodles,Big Prawn Noodle,0,1,6.7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Short,1,0,0,0,Chinese,Low
Pork Rib Noodles,Big Prawn Noodle,0,1,5.6,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,Short,1,0,0,0,Chinese,Low
Pork Rib Prawn Noodles,Big Prawn Noodle,0,1,7.2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,Short,1,0,0,0,Chinese,Low
NY Style Pizza Slice,American Cuisine,0,0,3.9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Average,0,1,0,0,Western,Average
Buffalo Wings,American Cuisine,0,0,5.3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,Average,0,1,0,1,Western,High
Animal Style Fries,American Cuisine,0,0,4.4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Average,0,1,0,1,Western,High
Glizzies,American Cuisine,0,0,4.4,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,Average,0,1,0,1,Western,Average
Nashville Hot Chicken,American Cuisine,0,0,6.4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Average,0,1,0,1,Western,High
Chilli Corn Carne ,American Cuisine,1,0,5.6,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,Average,0,1,0,0,Western,High
Jerk Chicken Rice,American Cuisine,1,0,6.4,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,Average,0,1,0,0,Western,Low
Ayam Penyet Set,Uncle Penyet,1,0,6.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Short,0,1,0,1,Muslim,High
Ayam Kukus,Uncle Penyet,1,0,6.7,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,Short,0,1,0,1,Muslim,High
Ayam Panggang Set,Uncle Penyet,1,0,6.7,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,Short,0,1,0,1,Muslim,High
Spicy Lemongrass Chicken Set,Uncle Penyet,1,0,6.7,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,Short,0,1,0,0,Muslim,Low
Ikan Dory Penyet Set,Uncle Penyet,1,0,7,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,Short,0,1,0,1,Muslim,High
Udang Penyet Set,Uncle Penyet,1,0,7,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,Short,0,1,0,1,Muslim,High
Cumi Goreng Set,Uncle Penyet,1,0,8.1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,Short,0,1,0,1,Muslim,High
Ikan Bawal Set,Uncle Penyet,1,0,9.2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,Short,0,1,0,1,Muslim,High
Marinara Pasta,Western,0,1,4.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Average,0,1,0,0,Western,Low
Mushroom Aglio Oglio,Western,0,1,4.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Average,0,1,0,0,Western,Average
Tom Yum Seafood Pasta,Western,0,1,7.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Average,0,1,0,0,Western,Low
Ham Carbonara Pasta,Western,0,1,4.2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Average,0,1,0,0,Western,Low
Grilled Chicken Chop set,Western,0,0,6.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Short,0,1,0,1,Western,High
Chicken Cutlet Set,Western,0,0,6.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Short,0,1,0,1,Western,High
Crispy Fish Fillet Set,Western,0,0,6.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Short,0,1,0,1,Western,High
Beef Steak With Mushroom Sauce Set,Western,0,0,8.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Short,0,1,0,1,Western,Average
Grilled Dory Fish Fillet Set,Western,0,0,6.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Short,0,1,0,1,Western,High
Beef Strangaoff,Western,1,0,7.8,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,Average,0,1,0,0,Western,Average
White/Brown Rice + 1 Vegetable + 1 Meat (Chicken),Chinese Economy Rice,1,0,3.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Short,0,1,0,0,Chinese,Average
White/Brown Rice + 1 Vegetable + 1 Meat (Pork),Chinese Economy Rice,1,0,3.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Short,0,1,0,0,Chinese,Average
White/Brown Rice + 1 Vegetable + 1 Meat (Beef),Chinese Economy Rice,1,0,3.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Short,0,1,0,0,Chinese,Average
White/Brown Rice + 2 Vegetable + 1 Meat (Chicken),Chinese Economy Rice,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Short,0,1,1,0,Chinese,Average
White/Brown Rice + 2 Vegetable + 1 Meat (Pork),Chinese Economy Rice,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Short,0,1,1,0,Chinese,Average
White/Brown Rice + 2 Vegetable + 1 Meat (Beef),Chinese Economy Rice,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Short,0,1,1,0,Chinese,Average
White/Brown Rice + 1 Vegetable + 2 Meat (Chicken/Pork),Chinese Economy Rice,1,0,4.9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,Short,0,1,0,1,Chinese,Average
White/Brown Rice + 1 Vegetable + 2 Meat (Chicken/Beef),Chinese Economy Rice,1,0,4.9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Short,0,1,0,1,Chinese,Average
White/Brown Rice + 1 Vegetable + 2 Meat (Pork/Beef),Chinese Economy Rice,1,0,4.9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,Short,0,1,0,1,Chinese,Average
White/Brown Rice + 2 Vegetable + 2 Meat (Chicken/Pork),Chinese Economy Rice,1,0,5.7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,Short,0,1,1,1,Chinese,Average
White/Brown Rice + 2 Vegetable + 2 Meat (Chicken/Beef),Chinese Economy Rice,1,0,5.7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Short,0,1,1,1,Chinese,Average
White/Brown Rice + 2 Vegetable + 2 Meat (Pork/Beef),Chinese Economy Rice,1,0,5.7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,Short,0,1,1,1,Chinese,Average
